t  	||u||(t)    	e(t)
4.4        	0.03337075747475451           		0.22037466839559428
4.4        	0.039863535728937194           		0.22037466839559428
4.4        	0.039863535728937194           		0.22037466839559428
4.4        	0.039863535728937194           		0.22037466839559428
4.4        	0.039863535728937194           		0.22037466839559428
4.5        	0           		0
4.5        	0.0009303615939282549           		0
4.5        	0.002017715814202709           		0
4.5        	0.003950869358799053           		0
4.5        	0.015961259150576373           		0
4.5        	0.027874104462015437           		0
4.5        	0.034576524293616           		0
4.5        	0.034576524293616           		0.033419750871295735
4.5        	0.034576524293616           		0.033419750871295735
4.5        	0.034576524293616           		0.033419750871295735
4.5        	0.034576524293616           		0.033419750871295735
4.6000000000000005        	0           		0
4.6000000000000005        	0.0028064780817120107           		0
4.6000000000000005        	0.00600931147641145           		0
4.6000000000000005        	0.01749834096866373           		0
4.6000000000000005        	0.02824162075133237           		0
4.6000000000000005        	0.03401923921850268           		0
4.6000000000000005        	0.03401923921850268           		0.2548897156056797
4.6000000000000005        	0.03401923921850268           		0.2548897156056797
4.6000000000000005        	0.03401923921850268           		0.2548897156056797
4.6000000000000005        	0.03401923921850268           		0.2548897156056797
4.6000000000000005        	0.03401923921850268           		0.2548897156056797
4.7        	0           		0
4.7        	0.0062590829566787345           		0
4.7        	0.01345093930159558           		0
4.7        	0.029328542439368898           		0
4.7        	0.037759112190662344           		0
4.7        	0.037759112190662344           		0.47767315646936753
4.7        	0.037759112190662344           		0.47767315646936753
4.7        	0.037759112190662344           		0.47767315646936753
4.7        	0.037759112190662344           		0.47767315646936753
4.7        	0.037759112190662344           		0.47767315646936753
4.7        	0.037759112190662344           		0.47767315646936753
4.800000000000001        	0           		0
4.800000000000001        	0.009084273063325411           		0
4.800000000000001        	0.019567090717368788           		0
4.800000000000001        	0.038289369293837076           		0
4.800000000000001        	0.043581101778583944           		0
4.800000000000001        	0.043581101778583944           		0.642805915660189
4.800000000000001        	0.043581101778583944           		0.642805915660189
4.800000000000001        	0.043581101778583944           		0.642805915660189
4.800000000000001        	0.043581101778583944           		0.642805915660189
4.800000000000001        	0.043581101778583944           		0.642805915660189
4.800000000000001        	0.043581101778583944           		0.642805915660189
4.9        	0           		0
4.9        	0.011023473926608938           		0
4.9        	0.023765366721814674           		0
4.9        	0.04350464971796124           		0
4.9        	0.04513627988435632           		0
4.9        	0.04513627988435632           		0.7450163792742562
4.9        	0.04513627988435632           		0.7450163792742562
4.9        	0.04513627988435632           		0.7450163792742562
4.9        	0.04513627988435632           		0.7450163792742562
4.9        	0.04513627988435632           		0.7450163792742562
4.9        	0.04513627988435632           		0.7450163792742562
5.0        	0           		0
5.0        	0.011891790095980072           		0
5.0        	0.02564170305268127           		0
5.0        	0.04446084156136811           		0
5.0        	0.04446084156136811           		0.762272813160705
5.0        	0.04446084156136811           		0.7742996738437729
5.0        	0.04446084156136811           		0.7742996738437729
5.0        	0.04446084156136811           		0.7742996738437729
5.0        	0.04446084156136811           		0.7742996738437729
5.0        	0.04446084156136811           		0.7742996738437729
5.0        	0.04446084156136811           		0.7742996738437729
5.1000000000000005        	0           		0
5.1000000000000005        	0.011595306561277214           		0
5.1000000000000005        	0.02500986676558883           		0
5.1000000000000005        	0.041063531938617594           		0
5.1000000000000005        	0.041063531938617594           		0.720032459211126
5.1000000000000005        	0.041063531938617594           		0.7277891251160525
5.1000000000000005        	0.041063531938617594           		0.7277891251160525
